Code,Name,Market
01157,Zoomlion Heavy Industry Science and Technology Co Ltd Class H,HKEX
01083,Towngas Smart Energy Co Ltd,HKEX
03625,Shanghai Foursemi Semiconductor Co Ltd Class H,HKEX
01686,Sunevision Holdings Ltd,HKEX
02145,Shanghai Chicmax Cosmetic Co Ltd Class H,HKEX
01672,Ascletis Pharma Inc,HKEX
00639,Shougang Fushan Resources Group Ltd,HKEX
02607,Shanghai Pharmaceuticals Holding Co Ltd Class H,HKEX
01368,Xtep International Holdings Ltd,HKEX
01681,Consun Pharmaceutical Group Ltd,HKEX
09911,Newborn Town Inc,HKEX
02669,China Overseas Property Holdings Ltd,HKEX
01836,Stella International Holdings Ltd,HKEX
00863,OSL Group Ltd,HKEX
00325,Bloks Group Ltd,HKEX
03996,China Energy Engineering Corp Ltd Class H,HKEX
09887,Nanjing Leads Biolabs Co Ltd Class H,HKEX
00880,SJM Holdings Ltd,HKEX
09690,TUHU Car Inc,HKEX
02595,GenFleet Therapeutics (Shanghai) Inc Class H,HKEX
01021,Guangdong Huayan Robotics Co Ltd Class H,HKEX
02498,RoboSense Technology Co Ltd,HKEX
01216,Zhongyuan Bank Co Ltd Class H,HKEX
07630,IMPACT Therapeutics Inc Class H,HKEX
02727,Shanghai Electric Group Co Ltd Class H,HKEX
02506,Xunfei Healthcare Technology Co Ltd Class H,HKEX
02155,Morimatsu International Holdings Co Ltd,HKEX
00636,KLN Logistics Group Ltd,HKEX
03200,Shenzhen Han's Cnc Technology Co Ltd Class H,HKEX
02025,Ruifeng Power Group Company Ltd,HKEX
01030,Seazen Group Ltd,HKEX
03866,Bank of Qingdao Co Ltd Class H,HKEX
01114,Brilliance China Automotive Holdings Ltd,HKEX
07688,Shanghai Top Numerical Control Technology Co Ltd Class H,HKEX
00336,Huabao International Holdings Ltd,HKEX
01316,Nexteer Automotive Group Ltd,HKEX
06636,Shandong Extreme Vision Technology Co Ltd Class H,HKEX
02630,Vigonvita Life Sciences Co Ltd Class H,HKEX
01186,China Railway Construction Corp Ltd Class H,HKEX
00826,Tiangong International Co Ltd,HKEX
03881,CiDi Inc Class H,HKEX
01811,CGN New Energy Holdings Co Ltd,HKEX
03306,JNBY Design Ltd,HKEX
02391,Tuya Inc,HKEX
02714,Muyuan Foods Group Co Ltd Class H,HKEX
01883,CITIC Telecom International Holdings Ltd,HKEX
09696,Tianqi Lithium Corp Class H,HKEX
00467,United Energy Group Ltd,HKEX
03983,China BlueChemical Ltd Class H,HKEX
00778,Fortune Real Estate Investment Trust (SG),HKEX
09678,Unisound AI Technology Co Ltd Class H,HKEX
00297,Sinofert Holdings Ltd,HKEX
00340,Tongguan Gold Group Ltd,HKEX
01798,China Datang Corp Renewable Power Co Ltd Class H,HKEX
06808,Sun Art Retail Group Ltd,HKEX
02666,Genertec Universal Medical Group Co Ltd,HKEX
00165,China Everbright Ltd,HKEX
01626,Jia Yao Holdings Ltd,HKEX
00934,Sinopec Kantons Holdings Ltd,HKEX
01989,Delton Technology (Guangzhou) Inc Class H,HKEX
01361,361 Degrees International Ltd,HKEX
00995,Anhui Expressway Co Ltd Class H,HKEX
01523,Plover Bay Technologies Ltd,HKEX
02436,LX Technology Group Ltd,HKEX
02142,Hbm Holdings Ltd,HKEX
00506,China Foods Ltd,HKEX
01072,Dongfang Electric Corp Ltd Class H,HKEX
01609,Star Sports Medicine Co Ltd Class H,HKEX
02687,Shanghai Able Digital Science&Tech Co Ltd Class H,HKEX
03288,Foshan Haitian Flavouring and Food Co Ltd Class H,HKEX
01952,Everest Medicines Ltd,HKEX
06655,Huaxin Building Materials Group Co Ltd Class H,HKEX
00045,Hongkong and Shanghai Hotels Ltd,HKEX
01310,HKBN Ltd,HKEX
02556,Marketingforce Management Ltd,HKEX
